Deutsch;Englisch
Mein Cousin ist der Sohn meiner Tante.;My cousin is the sohn of my aunt.
Meine Cousine ist die Tochter meines Onkels.;My female cousin is the daughter of my uncle.
Sie sind seit dreißig Jahren ein Ehepaar.;They have been a married couple for thirty years.
Mein Mann hat sich neu verliebt.;My husband is newly in love.
Seine Frau ist sehr reich.;His wife is very rich.
Ihr Freund ist häßlich aber reich.;Her friend is ugly but rich.
Die schöne Frau da vorne ist meine Freundin.;The pretty woman there is my girlfriend.
Ich suche einen Partner.;I am looking for a partner.
Haben sie eine Partnerin?;Do you have a female partner?
Die Leute wollen mehr Geld.;The people want more money.
Kann ich ihnen helfen mein Herr.;Can I help you sir?
Das ist aber ein schönes Baby.;That is a beautiful baby.
Ein Erwachsener ist älter als achtzehn Jahre.;An adult is older than eighteen years.
Ein Jugendlicher ist ein bisschen Kind und ein bisschen Erwachsener.;A teen is a little bit child and a little bit adult.
Ich hatte ein gutes Gespräch mit meinem Sohn.;I had a good conversation with my son.
Im Kinderwagen war kein Kind.;There was no child in the baby carriage.
Ich habe dem Baby einen Kuss gegeben.;I gave a kiss to the baby.
Wann ist eure Hochzeit?;When is your marriage?
Das Leben in Deutschland ist teuer.;Life in Germany is very expensive.
Ich kenne so viele Menschen.;I know so many people.
Der alte Mann erzählt uns seine Geschichte.;The old man is telling us a story.
Wir kochen für eine große Gruppe.;We are cooking for a big group.
Der Babysitter möchte dreißig Euro haben.;The babysitter wants to have thirty euros.
Ich hatte schon lange keinen Kontakt mehr zu meinen Eltern.;I didnt have contact with my parents for a long time.
Das ist nur ein Bekannter.;That is just an acquaintance.
Alle Verwandten kommen zu unserer Hochzeit.;All relatives come to our marriage.
Wo ist der Treffpunkt?;Where is the meeting point.
Die Großeltern lassen das Kind nicht mehr los.;The grandparents dont let the child go anymore.
Ich kenne meinen Vater nicht.;I dont know my father.
Erkennst du deinen Sohn nicht mehr?;Do you not recognize your son anymore?
Der Großvater erzählt von der Zeit als er jung war.;The grandfather tells of the time when he was young.
Die Leute reden schon über euch.;People are already talking about you.
Der Großvater küsst die Großmutter.;The grandfather is kissing the grandmother.
Du siehst wie deine Mutter aus.;You look like your mom.
Sie müssen ihre Tochter besser erziehen.;You have to educate your daughter better.
Wann ist dein Onkel geboren?;When was your uncle born?
Mein Onkel lebt nicht mehr.;My uncle doesnt live anymore.
Die Mutter erlaubt ihren Kindern noch etwas zu essen.;The mother allows her children to eat some more.
Das hat nicht geklappt.;That did not work.
Unsere Tante ruft uns zum Abendessen.;Our aunt is calling us to diner.
Der Babysitter betreut unsere Kinder.;The baby sitter is looking after our children.
Kann mir jemand helfen?;can someone help me?
ich möchte andere Eltern.;I want different parents.
Sogar deine Familie mag dich nicht.;Even your family doesnt like you.
Mein Vater ist jünger als meine Mutter.;My father is younger than my mother.
Meine Mutter ist älter als mein Vater.;My mother is older than my father.
Seine Freundin ist sehr schön.;His girlfriend is beautiful.
Meine Kinder sind nicht häßlich.;My children are not ugly.
Ich werde später sehr reich.;I will be very rich in the future.
Unsere Großeltern sind sehr arm.;Our grandparents are very poor.
Junge Männer sind sehr stark.;Young men are strong.
Alte Menschen sind oft schwach.;Old people are often weak.
Ich möchte jetzt bitte allein sein.;I want to be alone now please.
Wollen wir zusammen mit deinen Eltern reden?;Do we want to talk together with your parents?
Die Jungendlichen sind verliebt.;The teens are in love.
Dein Sohn ist ein bisschen anders.;Your son is a little bit different.
Seine Geschwister sind mir bekannt.;His siblings are known to me.
Sein Großvater war sehr berühmt.;His grandfather is very famous.
Wer ist der fremde Mann?;Who is the strange man?
Von wem ist sie schwanger?;Whom is she pregnant from?
spielen;to play
lernen;to learn
studieren;to study
fragen;to ask
antworten;to answer
ankreuzen;to check
buchstabieren;to spell
schreiben;to write
lesen;to read
sprechen;to speak
hören;to hear
sehen;to see
erklären;to explain
markieren;to mark
notieren;to make a note
ergänzen;to add
kontrollieren;to control
raten;to guess
stimmen;to be true
üben;to practise
überlegen;to think about
vorlesen;to read out loud
wissen;to know
ersetzen;to replace
zuhören;to listen to
beachten;to pay attention
eintragen;to register
korrigieren;to correct
nachschlagen;to research
wiederholen;to repeat
der Kindergarten;the kindergarden
der Erzieher/ die Erzieherin;the educator
das Spielzeug;the toy
die Schule;the school
der Schüler/ die Schülerin;the schoolboy
der Lehrer/ die Lehrerin;the teacher
die Universität;the university
der Dozent/ die Dozentin;the lecturer
der Student/ die Studentin;the student
die Frage;the question
die Antwort;the answer
die Aufgabe;the exercise
die Lösung;the solution
der Fehler;the mistake
die Prüfung;the exam
der Test;the test
der Buchstabe;the letter
das Wort;the word
der Satz;the sentence
der Text;the text
der Stift;the pen
das Papier;the paper
das Buch;the book
die Brille;the glasses
der Anfang;the beginning
die Mitte;the middle
das Ende;the end
die Volkshochschule;the evening school
das Beispiel;the example
der Kurs;the course
die Liste;the list
der Bleistift;the pencil
das Heft;the exercise book
der Kuli;the pen
die Schere;the scissor
die Hausaufgabe;the homework
die Tabelle;the table, the chart
die Tafel;the blackboard
die Klasse;the class
der Ausdruck;the expression
die Notiz;the note
der Fall;the fall
der Punkt;the point
das Wörterbuch;the dictionary
die Regel;the rule
die Ausnahme;the exception
die Idee;the idea
der Schluss;the end
die Seite;the page
der Unterricht;the teaching
der Zettel;the piece of paper
richtig;right
FALSCH;wrong
interessant;interesting
langweilig;boring
einfach;easy
schwer;difficult
intensiv;intensively
Der Großvater spielt mit dem Baby.;The grandfather is playing with the baby.
Die Kinder lernen in der Schule.;The children learn in school.
Die jungen Leute studieren an der Universität.;The young people study at the university.
Kann ich dich etwas fragen?;Can I ask you something?
Wann antwortest du mir endlich?;When will you finally answer me?
Sie müssen die richtige Antwort ankreuzen.;You have to check the correct answer.
Kannst du das Wort buchstabieren?;Can you spell the word?
Wir schreiben einen Text über Deutschland.;We are writing a text about Germany.
Hast du das Buch gelesen?;Have you read the book?
Der Mann spricht mit seiner Frau über sein Auto.;The man is talking with his wife about the car.
Kannst du das Baby hören?;Can you hear the baby?
Ich sehe dich nicht.;I dont see you.
Der Lehrer erklärt den Kindern die Aufgabe.;The teacher explains the task to the children.
Du musst die Wörter die du nicht verstehst markieren.;You have to mark the words that you dont understand.
Kann ich mir bitte ihre Telefonnummer notieren?;Can I write down your phone number please.
Du musst den Satz ergänzen.;You have to complete the sentence.
Der Lehrer kontrolliert den Test.;The teacher checks the test.
Wenn du es nicht weißt musst du raten.;If you dont know you have to guess.
Stimmt meine Lösung?;Is my solution correct?
Du musst noch viel üben.;You still have to practice a lot.
Überleg bitte noch ein bisschen.;Please think about this a little bit more.
Wer möchte den Text vorlesen?;Who wants to read out loud the text?
Wer weiß die richtige Antwort?;Who knows the correct answer?
Du hast es kaputt gemacht jetzt musst du es mir ersetzen.;You broke it know you have to replace it for me.
Ihr sollt mir zuhören.;You shall listen to me.
Beachtet bitte die dritte Aufgabe.;Please pay attention to the third task.
Tragt die Hausaufgabe bitte in euer Hausaufgabenheft ein.;Please register your homework in your homework organizer book.
Korrigieren sie bitte die falschen Antworten.;Please correct the wrong answers.
Das Wort kannst du im Wörterbuch nachschlagen.;You can research the word in the dictionary.
Kannst du das bitte wiederholen.;Can you repeat that please?
Die kleinen Kinder gehen in den Kindergarten.;The small children go to the kinder garden.
Die Kinder hören den Erziehern nicht zu.;The children dont listen to the educators.
Ein Kindergarten braucht viel Spielzeug.;A Kindergarden needs a lot of toys.
In der Schule kann man etwas lernen.;In school you can learn something.
Die Schüler machen ihre Hausaufgaben.;The pupils do they homeworks.
Der Lehrer fragt die Schüler.;The teacher asks the students.
An der Universität muss man viel lernen.;At the university you have to learn a lot.
Der Dozent macht sehr guten Unterricht.;The lecturer is giving a good teaching.
Die Studenten haben ihre Aufgaben nicht gemacht.;The students didnt do their tasks.
Ich habe eine Frage.;I have a question.
Kennen sie die Antwort?;You know the answer?
Der Test hat sechzig Aufgaben.;The test has sixty exercises.
Ich weiß die Lösung.;I know the solution.
Meine Tochter hat null Fehler im Test.;My daughter has zero mistakes in the test.
Die Studenten lernen für die Prüfung.;The students learn for the exam.
Der Arzt macht einen Test.;The doctor makes a test.
Was ist das für ein Buchstabe?;What letter is this.
Mir fehlen die Worte.;I have no words for this.
Kannst du bitte in ganzen Sätzen sprechen.;Can you speak in whole sentences please.
Was steht in dem Text?;Was is written in this text?
Kannst du mir bitte deinen Stift geben.;Can you give me your pen please?
Schreib bitte deinen Namen auf das Papier.;Please write down your name on the paper.
Öffnet bitte eure Bücher.;Please open your books.
Der Lehrer trägt eine Brille.;The teacher wears glasses.
Der Anfang ist immer am schwersten.;The beginning is always the most difficult.
Ich bin in der Mitte des Tests.;I am in the middle of the test.
Wir sind am Ende der heutigen Unterrichtsstunde.;We are at the end of todays lesson.
Erwachsene Menschen können an der Volkshochschule lernen.;Adult people can learn at the evening school.
Geben sie mir bitte ein Beispiel mit diesem Wort.;Please give me an example with this word.
Der Kurs ist sehr schwer.;The course is very difficult.
Schreiben sie bitte ihre Telefonnummer in die Liste.;Please write your phone number into the list.
Mein Bleistift ist kaputt.;My pencil is broken.
Ich habe die Aufgabe in mein Heft geschrieben.;I have written the exercise into my exercise book.
Ich schreibe lieber mit Kuli.;I prefer to write with a pen.
Die Mutter schneidet das Papier mit einer Schere.;The mother cuts the paper with a scissor.
Hast du deine Hausaufgaben gemacht?;Did you do your homework?
Macht bitte eine Tabelle.;Please create a table.
Der Lehrer schreibt den Satz an die Tafel.;The teacher writes the sentence on the blackboard.
Die ganze Klasse lacht über den Lehrer.;The whole class is laughing about the teacher.
Dein Ausdruck ist nicht gut.;Your expression is not very good.
Die Studenten machen sich Notizen.;The students take notes.
Welcher Fall ist das?;Which case is this?
Am Ende des Satzes kommt ein Punkt.;At the end of the sentence is a dot.
Suchen sie das Wort bitte im Wörterbuch.;Look for the word in the dictionary please.
Kennst du die Regel?;You know the rule?
Das ist eine Ausnahme.;That is an exception.
Ich habe eine Idee.;I have an idea.
Für heute ist Schluss.;For today its finished.
Das Buch hat über zweihundert Seiten.;The book has more than two hundred pages.
Der Unterricht bei Herrn Müller ist wirklich intensiv.;The teachings with mr Müller are really intense
Können sie mir bitte einen kleinen Zettel geben damit ich ihre Telefonnummer aufschreiben kann.;Can you give me a piece of paper so that I can write down my phone number please?
Ist das richtig?;Is that correct?
Das ist falsch.;That is not correct.
Das Buch ist sehr interessant.;The book is very interesting.
Sein Unterricht ist wirklich langweilig.;His teachings are really boring.
Der Test war sehr einfach.;The test was very easy.
Die Aufgabe ist zu schwer für die Schüler.;The exercise ist too difficult for the students.
Wir müssen jetzt endlich intensiv lernen.;We have to learn intensively now.
telefonieren;to phone
simsen;to write sms
klicken;to click
fernsehen;to watch tv
anrufen;to call
erreichen;to reach
weltweit;worldwide
vereinbaren;to agree
drucken;to print
nennen;to name
überweisen;to transfer money
installieren;to install
die Postleitzahl;the postal code
die Karte;the card
das Fax;the fax
der Brief;the letter
die Briefmarke;the stamp
der Absender/ die Absenderin;sender
der Empfänger/ die Empfängerin;receiver
das Telefon;the phone
das Handy;the cellphone
die SMS;the sms
das Telefonbuch;the phonebook
die Telefonnummer;the phonenumber
das Internet;the internet
die E-Mail;the email
der Computer;the computer
der Bildschirm;the screen
die Maus;the mouse
die Tastatur;the keyboard
der Drucker;the printer
die Zeitung;the journal
die Zeitschrift;the newspaper
die Anzeige;the ad
die CD;the cd
der CD-Player;the cd-player
das Radio;the radio
der Fernseher;the tv
die Kiste;the case
die Schachtel;the box
das Internet;the internet
der Internetanschluß;the internet connection
die Vorwahl;the area code
die Überweisung;the transfer of money
der Anrufbeantworter;the answering machine
der Gruß;the greeting
der Anruf;the call
das Amt;the office
der Monitor;the monitor
Ich telefoniere morgen mit meiner Mutter.;Tomorrow I talk to my mother on the phone.
Kannst du mir die Kontonummer simsen.;Can you send me the account number by sms.
Du musst mit der Maus klicken.;You have to click with the mouse.
Die Kinder wollen immer nur fernsehen.;The children always want to watch television.
Kannst du mich morgen anrufen?;Can you call me tomorrow?
Ich habe sie leider nicht erreicht.;Unfortunately I haven't reached you.
Mit diesem Handy kann ich weltweit sehr preiswert telefonieren.;With this cellphone I can call worldwide very cheaply.
Wir müssen einen Preis für das Auto vereinbaren.;We have to agree on a price for the car.
Ich drucke ihnen den Text aus.;I print the text for you.
Nennen sie mir bitte ihren Namen.;Tell me you name please.
Wir müssen jeden Monat die Miete an unseren Vermieter überweisen.;Each month we have to transfer our rent to our landlord.
Kann er Windows auf meinem Computer installieren?;Can he install windows on my computer?
Nennen sie mir bitte ihre Postleitzahl.;Tell me your postal code please.
Ich habe meiner Mutter eine schöne Karte geschickt.;I have sent a nice card to my mother.
Wir können der Bank ein Fax schicken.;We can send a fax to the bank.
Wir müssen dem Amt einen Brief schreiben.;We have to write a letter to the office.
Hast du eine Briefmarke für den  Brief?;Do you have a stamp for the letter?
Du musst den Absender auf den Brief schreiben.;You have to write the sender on the letter.
Jetzt habe ich den Empfänger vergessen.;I have just forgotten the receiver.
Kannst du mal bitte an das Telefon gehen?;Can you please go on the phone.
Ihr habt sehr viele Kontakte auf eurem Handy.;You have many contacts on your cellphone.
Ich schicke dir schnell eine SMS.;I write quickly a SMS to you.
Du findest seine Nummer im Telefonbuch.;You find his number in the phonebook.
Weißt du die Telefonnummer vom Amt?;You know the phone number of the office?
Ich gehe ins Internet.;I go on the internet.
Ich habe keine Antwort auf meine E-Mail bekommen.;I have not received an answer to my E-Mail.
Der Computer ist leider kaputt.;Unfortunately the computer is broken.
Der Bildschirm funktioniert wieder.;The screen works again.
Ich habe keine Maus für meinen Computer.;I have no mouse for my computer.
Meine Mutter schreibt sehr mit zehn Fingern auf der Tastatur.;My mother writes with ten fingers on the keyboard.
Geht der Drucker?;Does the printer work?
Mein Freund kauft sich eine Zeitung am Kiosk.;My friend buys a journal at the kiosk.
Ich lese lieber eine Zeitschrift.;I prefer to read a newspaper.
Da steht eine Anzeige für eine Wohnung in der Zeitung.;There is an advertisment for an apartement in the journal.
Wir benutzen keine CDs mehr.;We dont use CDs anymore.
Der CD-Player ist schon alt.;The CD-Player ist already old.
Ich höre Radio beim putzen.;I listen to the radio when I clean.
Wir brauchen einen neuen Fernseher.;We need a new television.
Der Vater öffnet die Kiste.;The father opens the case.
In der Schachtel sind nur alte CDs;There are only old CDs in the box.
Ohne Internet ist es langweilig.;Its boring without the internet.
Wir haben noch keinen Internetanschluß in unserer neuen Wohnung.;We dont yet have internet connection in our new apartment.
Du musst die Vorwahl wählen.;You have to dial the area code.
Hast du gestern die Überweisung gemacht?;Did you make the money transfer yesterday?
Ich habe ihm auf den Anrufbeantworter gesprochen.;I spoke on his answering machine.
Sag ihm einen schönen Gruß von mir.;Give him greetings from me.
Hast du seinen Anruf bekommen?;Did you receive his phone call?
Ich muss schon wieder zum Amt.;I have to go to the office again.
Was steht dort auf dem Monitor?;What is on the monitor?
der Sport;the sport
Basketball;basketball
Fußball;soccer
Jogging;jogging
Handball;handball
Tennis;Tennis
Tischtennis;tabletennis
Volleyball;volleyball
der Ball;the ball
der Spaziergang;to go hiking
das Schwimmbad;the swimming pool
die Sporthalle;the gym
der Sportplatz;the sports ground
das Kino;the cinema
das Museum;the museum
das Theater;the theater
der Alltag;the everyday
der Rhythmus;the rhythm
der Spielplatz;the playground
der Verein;the club
die Kamera;the camera
die Musik;the music
die Aktivität;the activity
die Bibliothek;the library
der Biergarten;the beer garden
der Eintritt;the entry
das Konzert;the concert
der Krimi;the thriller
der Bundestag;the german parliament
die Disco;the disco
das Picknick;the picnic
die Kultur;the culture
die Möglichkeit;the possibility
das Programm;the program
die Sehenswürdigkeit;the sight
die Erfahrung;the experience
das Ziel;the goal
der Club;the club
das Fest;the party
die Bar;the bar
das Spiel;the game
der Spaß;the fun
schwimmen;to swim
tanzen;to dance
wandern;to hike
malen;to paint
werfen;to throw
fangen;to catch
sammeln;to collect
glauben;to believe
feiern;to celebrate
grillen;to make a barbecue
trainieren;to practise
träumen;to dream
zeichnen;to draw
besichtigen;to visit
erleben;to experience
eröffnen;to open
singen;to sing
historisch;historical
spannend;exciting
noch einmal;one more time
Ich gehe jeden Tag schwimmen.;I go swimming every day.
Wir tanzen die ganze Nacht.;We dance all night.
Wir sind zwei Stunden gewandert.;We were hiking for two hours.
Es macht mir großen Spaß zu malen.;It great fun for me to paint.
Kannst du den Ball bitte zu mir werfen?;You you throw the ball to me please?
Das Kinder hat den Ball nicht gefangen.;The child did not catch the ball.
Mein Vater sammelt Briefmarken.;My father collects stamps.
Ich glaube das nicht.;I dont believe that.
Wir gehen jedes Wochenende feiern.;We make party on every weekend.
Ich habe abends mit meiner Familie gegrillt.;In the evening I made a barbecue with my family.
Wir müssen zwei Mal am Tag trainieren.;We have to practise twice a day.
Wenn ich schlafe träume ich viel.;When I sleep I dream a lot.
Kannst du schon ein Haus zeichnen?;Can you draw a house yet?
Wir besichtigen die Sehenswürdigkeiten der Stadt.;We look at the sights of the city.
Wir haben heute sehr viel erlebt.;We experienced a lot today.
In Berlin eröffnet ein neues Museum.;A new museum is opening in Berlin.
Ich singe gerne beim wandern.;I like to sing while hiking.
Der Arzt sagt du sollst mehr Sport machen.;The doctor says you should do more sports.
Die Kinder spielen Basketball.;The children play basketball.
Es kommt wieder Fußball im Fernsehen.;There is soccer on the television again.
Ich mache viel Jogging.;I do a lot of jogging.
Er spielt sehr gut Handball.;He plays Handball very good.
Ich kann leider kein Tennis.;Unfortunately I can not play tennis.
Tischtennis macht mir großen Spaß.;Tabletennis is great fun for me.
Beim Volleyball muss man groß sein.;You have to be very tall at volleyball.
Wer hat den Ball gefangen?;Who has caught the ball?
Komm wir machen einen Spaziergang.;Lets go for a walk.
Die ganze Familie geht am Samstag in das Schwimmbad.;On Saturday the whole family goes to the swimming pool.
Im Sportunterricht geht die Klasse in die Sporthalle.;In the sportslesson the wole class goes into the gym.
Heute müssen wir auf den Sportplatz.;Today we have to go to the sports ground.
Die jungen Leute gehen gerne ins Kino.;The young people like to go to the cinema.
Alte Leute gehen gerne ins Museum.;Old people like to go to the museum.
Das Theater ist nichts für mich.;The theater is not for me.
Wie sieht dein Alltag aus?;What does your daily routine look like?
Beim Schwimmen braucht man einen guten Rhythmus.;At swimming you need a good rhythm.
Wir gehen mit unserem Sohn auf den Spielplatz.;We go to the playground with our son.
Gibt es hier einen Fußballverein?;Is there a soccer club here
Du musst viele Fotos mit deiner Kamera machen.;You have to make many pictures with your camera.
Aus dem Radio kommt schöne Musik.;There is nice music coming from the radio.
Wir müssen mehr Aktivitäten machen.;We have to do more activities.
In der Bibliothek gibt es viele Bücher.;There are many books in the library.
Im Sommer gehen die Leute in den Biergarten.;In Summer people like to go to the beer garden.
Der Eintritt kostet sechs Euro.;The entrance costs six euros.
Das Konzert war wirklich schön.;The concert was really nice.
Ich habe einen schlimmen Krimi gelesen.;I have read a terrible thriller.
Die Klasse besichtigt den Bundestag.;The class is visiting the Bundestag (german parliament).
Die Jugendlichen gehen gerne in die Disco.;The teens like to go to the disco.
Verliebte Leute machen gerne ein Picknick.;People who are in love like to make picnic.
Ich finde die deutsche Kultur sehr interessant.;I find German culture very interesting.
Es gibt so viele Möglichkeiten.;There are so many possibilities.
Der Mann installiert das Programm auf dem Computer.;The man install the program on the computer.
Ich habe viele Sehenswürdigkeiten gesehen.;I have seen many sights.
Hast du Erfahrung mit Autos?;Do you have experience with cars?
Unser Ziel ist es gut Fußball zu spielen.;Our goal is to play soccer well.
Im Club kann man tanzen.;You can dance in the club.
Wir feiern viele Feste.;We celebrate many partys.
Wir gehen an die Bar und trinken noch ein Glas Wein.;We go to the bar and drink another glass of vine.
Hast du das Spiel gesehen?;Have you seen the game?
Ich hatte keinen Spaß.;I had no fun.
Im Museum sieht man historische Gegenstände.;you see historical things in the museum.
Der Vater erzählt eine spannende Geschichte.;The father is telling an exciting story.
Ich möchte noch einmal ins Schwimmbad.;I want to go to the swimming pool once more.
arbeiten;to work
telefonieren;to phone
zusammenarbeiten;to work together
anmelden;to register
anstellen;to employ
anstrengend;exhausting
leidtun;to feel sorry
klären;to clarify
aufhören;to quit
erfinden;to invent
testen;to test
die Firma;the company
der Empfang;the lobby
das Büro;the office
der Schreibtisch;the desk
die Arbeit;the work
der Chef/ die Chefin;the boss
der Kollege/ die Kollegin;the colleague
die Pause;the break
der Feierabend;closing time
der Stundenlohn;the hourly wage
das Projekt;the project
die Voraussetzung;the condition
die Vorbereitung;the preparation
das Interview;the interview
die Kantine;the canteen
das Team;the team
die Überstunde;the hour of overtime
der Erfolg;the success
die Arbeitsstelle;the workplace
der Bedarf;the need
die Feuerwehr;the fire department
die Pünktlichkeit;the punctuality
der Vorteil;the advantage
die Ausbildung;the schooling
die Berufsausbildung;the occupation schooling
der Ausbau;the extension
der Bereich;the area
der Betrieb;the business
die Bezahlung;the payment
die Buchhandlung;the bookstore
der Direktor/ die Direktorin;the director
der Ingenieur/ die Ingenieurin;the engineer
der Angestellte/ die Angestellte;the employee
die Bewerbung;the application
der Beruf;the occupation
der Anwalt/ die Anwältin;the lawyer
der Arbeiter/ die Arbeiterin;the worker
der Bäcker/ die Bäckerin;the baker
der Bauer/ die Bäuerin;the farmer
der Briefträger/ die Briefträgerin;the postman
der Elektriker/ die Elektrikerin;the electrician
der Fleischer/ die Fleischerin;the butcher
der Gärtner/ die Gärtnerin;the gardener
die Hausfrau;the housekeeper
der Hausmeister/ die Hausmeisterin;the caretaker
der Klempner/ die Klempnerin;the plumber
der Koch/ die Köchin;the cook
der Maler/ die Malerin;the painter
der Maurer/ die Maurerin;the mason
der Mechaniker/ die Mechanikerin;the mechanic
der Polizist/ die Polizistin;the policeman
der Schneider/ die Schneiderin;the tailor
der Sekretär/ die Sekretärin;the secretary
die Rolle;the role
das Gehalt;the wage
der Job;the job
der Künstler/ die Künstlerin;the artist
der Meister/ die Meisterin;the master
der Politiker/ die Politikerin;the politician
der Sänger/ die Sängerin;the singer
der Arbeitsplatz;the workingplace
das Praktikum;the practical training
frei;free
gleichmäßig;equally
zuverlässig;reliable
fleißig;diligent
üblich;usual
ideal;ideal
netto;net (wage)
arbeitslos;unemployed
brutto;gross
Ich arbeite immer werktags.;I always work during working days.
Wir müssen endlich zusammenarbeiten.;We have to work together finally.
Er möchte sich für die Ausbildung anmelden.;He wants to register for schooling.
Wie viele Arbeiter stellen sie an?;How many workers do you employ?
Die Arbeit als Bäcker ist sehr anstrengend.;The work as a baker is very hard.
Es tut mir leid aber sie können hier nicht arbeiten.;I am sorry but you can not work here.
Das müssen sie mit ihrer Arbeitsstelle klären.;You have to clarify that at your workplace.
Der Bäcker ist krank und muss mit seiner Arbeit aufhören.;The baker is sick and has to quit his work.
Wir erfinden neue Handys.;We invent new cellphones.
Ich muss die Computer testen.;I have to test the computers.
Meiner Firma geht es gut.;My company is doing well.
Können sie sich bitte am Empfang melden?;Can you go and talk to the reception please?
Der Chef sitzt in seinem Büro und wartet.;The boss is sitting in his office and waits.
Auf meinem Schreibtisch liegt viel Geld.;A lot of money lies on my desk.
Ich brauche eine neue Arbeit.;I need a new work.
Mein Chef ist sehr fleißig. ;My boss is very hardworking.
Ihre Kollegen sind sehr freundlich zu ihr.;Her colleagues are very friendly with her.
Ich brauche jetzt endlich eine Pause.;I finally need a break.
Wann haben wir Feierabend?;When is closing time?
Für einen Stundenlohn von drei Euro arbeite ich nicht.;I dont work for an hourly wage of three euros.
Dieses Projekt wird sehr teuer.;This project will be very expensive.
Haben sie die Voraussetzungen für diese Arbeitsstelle?;Do you have the requirements for this working place?
Brauche ich eine Vorbereitung für den Test?;Do I need a preparation for the test?
Wir machen jetzt ein Interview.;We are making an interview now.
Auf der Arbeit esse ich in der Kantine.;At work I eat in the canteen.
Das Team ist wirklich zuverlässig.;The team is really reliable.
Sie müssen mindestens fünf Überstunden im Monat machen.;You have to do at least five hours of overtime in a month.
Ich hatte leider keinen Erfolg.;Unfortunately I had no success.
Wie viele Arbeitsstellen haben sie frei?;How many working places do you have free?
Ich habe keinen Bedarf an Arbeitern.;I have no need of workers.
Die Feuerwehr kommt sehr schnell.;The fire department comes very fast.
Pünktlichkeit ist sehr wichtig.;Punctuality is very important.
Eine gute Ausbildung ist ein großer Vorteil.;A good schooling is a big advantage.
Haben sie eine Berufsausbildung;Do you have an occupation schooling.
Wir brauchen noch Leute für den Ausbau des Hotels.;We need people for the extension of the hotel.
In welchem Bereich haben sie gearbeitet.;In which area did you work?
In diesem Betrieb möchte ich nicht arbeiten.;I dont want to work in this business.
Die Bezahlung ist sehr schlecht.;The payment is really bad.
Ich arbeite jetzt in einer Buchhandlung.;I work in a bookstore now.
Den Direktor grüße ich immer sehr freundlich.;The director I always greet very friendly.
Ich bin Ingenieur.;I am engineer.
Er ist Angestellter in einer großen Firma.;He is employee of a big company.
Haben sie uns schon ihre Bewerbung geschickt?;Did you send us your application?
Was sind sie von Beruf?;What is your occupation?
Sie brauchen einen guten Anwalt.;You need a good lawyer.
Wie viele Arbeiter haben sie?;How many workers do you have.
Ein Bäcker muss früh aufstehen.;A baker has to get up early.
Ich bin kein Bauer ich bin Gärtner.;I am not a farmer I am a gardener.
Der Briefträger kommt immer pünktlich.;The postman is always on time.
Da müssen wir den Elektriker rufen.;in this case we have to call an electrician.
Ich gehe jetzt zum Fleischer und hole uns zwei Schnitzel.;I go to the butcher and get us two Schnitzel.
Es ist immer der Gärtner.;It is always the gardener.
Ich bin Hausfrau von Beruf.;My occupation is housewife.
Da müssen sie mit dem Hausmeister sprechen.;In this case you have to talk to the janitor.
Der Klempner hat die Toilette repariert.;The plumber has repaired the toilet.
Der Koch arbeitet im Restaurant.;The cook works in the restaurant.
Der Maler malt die Wand.;The painter paints the wall.
Ich bin Maurer von Beruf.;My occupation is mason.
Kann der Mechaniker Autos reparieren?;Can the mechanic repair cars?
Der Polizist wollte mir nicht helfen.;The policeman didnt want to help me.
Mit der kaputten Hose gehe ich zum Schneider.;I go to the tailor with the broken pants.
Rufen sie bitte meinen Sekretär an.;Please call my secretary.
Welche Rolle spielen sie hier?;Which role do you play here?
Können wir bitte über mein Gehalt sprechen?;Can we talk about my salary please?
Das ist wirklich ein guter Job.;That is really a nice job.
Ich bin Künstler und kein Arbeiter.;I am an artist and not a worker.
Er ist ein Meister in seinem Beruf.;He is a master in his occupation.
Die Politiker haben zu viel Geld.;The politicians have too much money.
Den Sängern fehlt es immer am Geld.;The singers are always out of money.
Ich habe heute meinen Arbeitsplatz verloren.;Today I lost my working place.
Machen sie doch erstmal ein Praktikum bei uns.;Do a practical training with us first.
Ich habe heute frei und muss nicht arbeiten.;I have free today and dont have to work.
Jeder bekommt gleichmäßig viel.;Everybody gets the equal amount.
Wir brauchen zuverlässige Angestellte.;We need reliable employees.
Deine Tochter ist sehr fleißig.;Your daughter is very hardworking.
Das ist hier nicht üblich?;That is not usual here.
Ihre Voraussetzungen sind nicht ideal.;Your conditions are not ideal.
Wieviel bekomme ich netto?;How much do I get net (wage).
Ich bin seit zwei Jahren arbeitslos.;I am unemployed since two years.
Ich bekomme eintausend Euro brutto.;I get a thousand euros gross.
die Himmelsrichtung;direction
der Norden;the north
der Westen;the west
der Osten;the east
der Süden;the south
der Himmel;the sky
die Wolke;the cloud
der Mond;the moon
der Stern;the star
der Planet;the planet
die Erde;the earth
das Wetter;the weather
die Sonne;the sun
der Regen;the rain
der Nebel;the fog
der Schnee;the snow
der Wind;the wind
der Sturm;the storm
das Gewitter;the thunderstorm
der Blitz;the lightning
der Hagel;the hail
das Eis;the ice
die Luft;the air
der Tropfen;the drop
der Regenschirm;the umbrella
schauen;to look
gießen;to pour
heiß;hot
nass;wet
scheinen;to seem
die Tiere;the animals
der Vogel;the bird
der Fisch;the fish
das Insekt;the insect
der Hund;the dog
die Katze;the cat
das Schwein;the pig
die Kuh;the cow
